Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.ThisPre,2,Class,mixin,ThisPre,,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.ThisPre calls fprivate mixin.PrimaryPrefix THEN it also belongs to SYNTAX   
mixin.ThisPre.ARG_LENGTH,3,Field,mixin,ThisPre,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.ThisPre.ARG_LENGTH is a child of mixin.ThisPre THEN it also is fprivate of SYNTAX   
mixin.ThisPre.TOK_LENGTH,3,Field,mixin,ThisPre,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.ThisPre.TOK_LENGTH is a child of mixin.ThisPre THEN it also is fprivate of SYNTAX   
mixin.ThisPre.printorder(),4,Method,mixin,ThisPre,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.ThisPre.printorder() is a child of mixin.ThisPre THEN it also is fprivate of SYNTAX   
mixin.ThisPre.setParms(AstToken tok0),4,Method,mixin,ThisPre,setParms(AstToken tok0),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.ThisPre.setParms(AstToken tok0) calls fprivate mixin.ThisPre.ARG_LENGTH THEN it also belongs to SYNTAX   
mixin.SuperLA,2,Class,mixin,SuperLA,,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SuperLA calls fprivate mixin.CastLookaheadChoices THEN it also belongs to SYNTAX   
mixin.SuperLA.ARG_LENGTH,3,Field,mixin,SuperLA,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SuperLA.ARG_LENGTH is a child of mixin.SuperLA THEN it also is fprivate of SYNTAX   
mixin.SuperLA.TOK_LENGTH,3,Field,mixin,SuperLA,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SuperLA.TOK_LENGTH is a child of mixin.SuperLA THEN it also is fprivate of SYNTAX   
mixin.SuperLA.printorder(),4,Method,mixin,SuperLA,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SuperLA.printorder() is a child of mixin.SuperLA THEN it also is fprivate of SYNTAX   
mixin.SuperLA.setParms(AstToken tok0),4,Method,mixin,SuperLA,setParms(AstToken tok0),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.SuperLA.setParms(AstToken tok0) calls fprivate mixin.SuperLA.ARG_LENGTH THEN it also belongs to SYNTAX   
mixin.PEIncDec,2,Class,mixin,PEIncDec,,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec calls fprivate mixin.PostfixExpression THEN it also belongs to SYNTAX   
mixin.PEIncDec.ARG_LENGTH,3,Field,mixin,PEIncDec,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.ARG_LENGTH is a child of mixin.PEIncDec THEN it also is fprivate of SYNTAX   
mixin.PEIncDec.TOK_LENGTH,3,Field,mixin,PEIncDec,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.TOK_LENGTH is a child of mixin.PEIncDec THEN it also is fprivate of SYNTAX   
mixin.PEIncDec.getPEPostIncDec(),4,Method,mixin,PEIncDec,getPEPostIncDec(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.getPEPostIncDec() calls fprivate mixin.PEPostIncDec THEN it also belongs to SYNTAX   
mixin.PEIncDec.getPrimaryExpression(),4,Method,mixin,PEIncDec,getPrimaryExpression(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.getPrimaryExpression() calls fprivate mixin.PrimaryExpression THEN it also belongs to SYNTAX   
mixin.PEIncDec.printorder(),4,Method,mixin,PEIncDec,printorder(),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.printorder() is a child of mixin.PEIncDec THEN it also is fprivate of SYNTAX   
mixin.PEIncDec.setParms(PrimaryExpression arg0; PEPostIncDec arg1),4,Method,mixin,PEIncDec,setParms(PrimaryExpression arg0; PEPostIncDec arg1),SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.PEIncDec.setParms(PrimaryExpression arg0; PEPostIncDec arg1) calls fprivate mixin.PrimaryExpression THEN it also belongs to SYNTAX   
mixin.CastExpr1,2,Class,mixin,CastExpr1,,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr1 calls fprivate mixin.CastExpression THEN it also belongs to SYNTAX   
mixin.CastExpr1.ARG_LENGTH,3,Field,mixin,CastExpr1,ARG_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr1.ARG_LENGTH is a child of mixin.CastExpr1 THEN it also is fprivate of SYNTAX   
mixin.CastExpr1.TOK_LENGTH,3,Field,mixin,CastExpr1,TOK_LENGTH,SYNTAX,TRUE,TRUE,,TRUE,FALSE,mixin.CastExpr1.TOK_LENGTH is a child of mixin.CastExpr1 THEN it also is fprivate of SYNTAX   
