Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.StmtExprChoices,2,Class,mixin,StmtExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.CondOrExpr,2,Class,mixin,CondOrExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ConditionalAndExpression,2,Class,mixin,ConditionalAndExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreCondOrExpr,2,Class,mixin,MoreCondOrExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.LabeledStmt,2,Class,mixin,LabeledStmt,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.LabeledStatement,2,Class,mixin,LabeledStatement,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ImplClause,2,Class,mixin,ImplClause,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.ImplementsClause,2,Class,mixin,ImplementsClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_TypeNameList,2,Class,mixin,AST_TypeNameList,,syntax,FALSE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.IntExtClauseC,2,Class,mixin,IntExtClauseC,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.IntExtClause,2,Class,mixin,IntExtClause,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.PlusUE,2,Class,mixin,PlusUE,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.MultiplicativeExpression,2,Class,mixin,MultiplicativeExpression,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Modifier,2,Class,mixin,Modifier,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_SwitchEntryElem,2,Class,mixin,AST_SwitchEntryElem,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SwitchEntryBody,2,Class,mixin,SwitchEntryBody,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.CaseLabel,2,Class,mixin,CaseLabel,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.EqExpr,2,Class,mixin,EqExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.MoreEqExpr,2,Class,mixin,MoreEqExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.RShift,2,Class,mixin,RShift,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.SEBod,2,Class,mixin,SEBod,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_ProgramC,2,Class,mixin,AST_ProgramC,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.AST_Program,2,Class,mixin,AST_Program,,syntax,FALSE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.MthCall,2,Class,mixin,MthCall,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.PrimarySuffix,2,Class,mixin,PrimarySuffix,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.Arguments,2,Class,mixin,Arguments,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.BreakStm,2,Class,mixin,BreakStm,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
mixin.BreakStatement,2,Class,mixin,BreakStatement,,syntax,TRUE,FALSE,,FALSE,FALSE,AHEAD assigned initial feature and modifier
mixin.ModProtected,2,Class,mixin,ModProtected,,syntax,TRUE,FALSE,,TRUE,FALSE,AHEAD assigned initial feature and modifier
