Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences,User_comment,Member_modifier
mixin.Main.currentOutputFileName,3,Field,mixin,Main,currentOutputFileName,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.directoryPath(String path),4,Method,mixin,Main,directoryPath(String path),,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.driver(ArgList args),4,Method,mixin,Main,driver(ArgList args),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.R4Feature.Java,3,Field,mixin,R4Feature,Java,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.processing(String label; String fileName),4,Method,mixin,Main,processing(String label; String fileName),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.kernelConstants.currentFileName,3,Field,mixin,kernelConstants,currentFileName,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.R4Feature.kernel,3,Field,mixin,R4Feature,kernel,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.createAST(ArgList argObjects),4,Method,mixin,Main,createAST(ArgList argObjects),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.outputAST(ArgList argObjects; AstNode ast),4,Method,mixin,Main,outputAST(ArgList argObjects; AstNode ast),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.Main.argInquire(int _layer),4,Method,mixin,Main,argInquire(int _layer),,FALSE,FALSE,,TRUE,FALSE,,,protected
mixin.kernelConstants.LangName,3,Field,mixin,kernelConstants,LangName,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.kernelConstants.jakExtension,3,Field,mixin,kernelConstants,jakExtension,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.AstProperties,2,Class,mixin,AstProperties,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants.mainProps,3,Field,mixin,kernelConstants,mainProps,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.kernelConstants.currentFileExt,3,Field,mixin,kernelConstants,currentFileExt,,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Parser,2,Class,mixin,Parser,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ParseException,2,Class,mixin,ParseException,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.ArgList.first(Class cls; int _layer),4,Method,mixin,ArgList,first(Class cls; int _layer),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants.PushParseTreeStack(String filename),4,Method,mixin,kernelConstants,PushParseTreeStack(String filename),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstProperties.setProperty(String key; Object value),4,Method,mixin,AstProperties,setProperty(String key; Object value),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants.PopParseTreeStack(),4,Method,mixin,kernelConstants,PopParseTreeStack(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.fatalError(String msg),4,Method,mixin,AstNode,fatalError(String msg),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Parser.getInstance(InputStream stream),4,Method,mixin,Parser,getInstance(InputStream stream),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Parser.parseAll(),4,Method,mixin,Parser,parseAll(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.parseError(String msg),4,Method,mixin,AstNode,parseError(String msg),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.kernelConstants.outputFileExtension,3,Field,mixin,kernelConstants,outputFileExtension,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstProperties.getProperty(String key),4,Method,mixin,AstProperties,getProperty(String key),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstProperties.containsProperty(String key),4,Method,mixin,AstProperties,containsProperty(String key),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.reduce2java(AstProperties props),4,Method,mixin,AstNode,reduce2java(AstProperties props),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.toolname,3,Field,mixin,Main,toolname,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.typeSort,3,Field,mixin,Main,typeSort,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.keySort,3,Field,mixin,Main,keySort,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.copyMode,3,Field,mixin,Main,copyMode,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.tagging,3,Field,mixin,Main,tagging,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.Main.usage(String err),4,Method,mixin,Main,usage(String err),,FALSE,FALSE,,TRUE,FALSE,,,private
mixin.Main.usageOftk(),4,Method,mixin,Main,usageOftk(),,FALSE,FALSE,,TRUE,FALSE,,,package-private
mixin.Main.main(String args[]),4,Method,mixin,Main,main(String args[]),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AST_Program,2,Class,mixin,AST_Program,,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.root,3,Field,mixin,JTSParseTree,root,,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.AstNode.fatalError(Exception e; String msg),4,Method,mixin,AstNode,fatalError(Exception e; String msg),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.resetCounters(),4,Method,mixin,JTSParseTree,resetCounters(),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.setReportStream(PrintWriter p),4,Method,mixin,JTSParseTree,setReportStream(PrintWriter p),,FALSE,FALSE,,TRUE,FALSE,,,public
mixin.JTSParseTree.errorCount(),4,Method,mixin,JTSParseTree,errorCount(),,FALSE,FALSE,,TRUE,FALSE,,,public
