Identifier,TypeID,Type,Package,Class,Member,Feature,Is_fprivate?,Is_inferred?,Parent_features,Is_terminal?,Is_hook?,Inferences
mixin.FIExprList.setParms(StatementExpressionList arg0),4,Method,mixin,FIExprList,setParms(StatementExpressionList arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState,2,Class,mixin,GotoState,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.GotoState.ARG_LENGTH,3,Field,mixin,GotoState,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.TOK_LENGTH,3,Field,mixin,GotoState,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.getArguments(),4,Method,mixin,GotoState,getArguments(),,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.getGOTO_STATE(),4,Method,mixin,GotoState,getGOTO_STATE(),,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.getQName(),4,Method,mixin,GotoState,getQName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.printorder(),4,Method,mixin,GotoState,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.GotoState.setParms(AstToken tok0; QName arg0; Arguments arg1),4,Method,mixin,GotoState,setParms(AstToken tok0; QName arg0; Arguments arg1),,FALSE,FALSE,,TRUE,FALSE,
mixin.Plus,2,Class,mixin,Plus,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AddExprChoices,2,Class,mixin,AddExprChoices,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.Plus.ARG_LENGTH,3,Field,mixin,Plus,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.Plus.TOK_LENGTH,3,Field,mixin,Plus,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.Plus.printorder(),4,Method,mixin,Plus,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.Plus.setParms(AstToken tok0),4,Method,mixin,Plus,setParms(AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr,2,Class,mixin,InclOrExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.ARG_LENGTH,3,Field,mixin,InclOrExpr,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.TOK_LENGTH,3,Field,mixin,InclOrExpr,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.getExclusiveOrExpression(),4,Method,mixin,InclOrExpr,getExclusiveOrExpression(),,FALSE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.getMoreInclOrExpr(),4,Method,mixin,InclOrExpr,getMoreInclOrExpr(),,FALSE,FALSE,,TRUE,FALSE,
mixin.MoreInclOrExpr,2,Class,mixin,MoreInclOrExpr,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.printorder(),4,Method,mixin,InclOrExpr,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.InclOrExpr.setParms(ExclusiveOrExpression arg0; MoreInclOrExpr arg1),4,Method,mixin,InclOrExpr,setParms(ExclusiveOrExpression arg0; MoreInclOrExpr arg1),,FALSE,FALSE,,TRUE,FALSE,
mixin.MoreExclOrExprElem,2,Class,mixin,MoreExclOrExprElem,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.MoreExclOrExprElem.getEOEBody(),4,Method,mixin,MoreExclOrExprElem,getEOEBody(),,FALSE,FALSE,,TRUE,FALSE,
mixin.EOEBody,2,Class,mixin,EOEBody,,syntax,TRUE,FALSE,,FALSE,FALSE,
mixin.MoreExclOrExprElem.setParms(EOEBody arg0),4,Method,mixin,MoreExclOrExprElem,setParms(EOEBody arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnShL,2,Class,mixin,AssnShL,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AssnShL.ARG_LENGTH,3,Field,mixin,AssnShL,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnShL.TOK_LENGTH,3,Field,mixin,AssnShL,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnShL.printorder(),4,Method,mixin,AssnShL,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AssnShL.setParms(AstToken tok0),4,Method,mixin,AssnShL,setParms(AstToken tok0),,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre,2,Class,mixin,BasePre,,syntax,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.ARG_LENGTH,3,Field,mixin,BasePre,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.TOK_LENGTH,3,Field,mixin,BasePre,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.getAST_TypeNameList(),4,Method,mixin,BasePre,getAST_TypeNameList(),,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.getQName(),4,Method,mixin,BasePre,getQName(),,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.printorder(),4,Method,mixin,BasePre,printorder(),,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.setParms(AstToken tok0; AstToken tok1; AstOptNode arg0; AstToken tok2; AstToken tok3; QName arg1),4,Method,mixin,BasePre,setParms(AstToken tok0; AstToken tok1; AstOptNode arg0; AstToken tok2; AstToken tok3; QName arg1),,FALSE,FALSE,,TRUE,FALSE,
mixin.BasePre.checkForErrors(int stage; String file),4,Method,mixin,BasePre,checkForErrors(int stage; String file),,FALSE,FALSE,,TRUE,FALSE,
mixin.AstNode.warning(AstTokenInterface t; String msg),4,Method,mixin,AstNode,warning(AstTokenInterface t; String msg),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_ImportsElem,2,Class,mixin,AST_ImportsElem,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.AST_ImportsElem.getImportDeclaration(),4,Method,mixin,AST_ImportsElem,getImportDeclaration(),,FALSE,FALSE,,TRUE,FALSE,
mixin.AST_ImportsElem.setParms(ImportDeclaration arg0),4,Method,mixin,AST_ImportsElem,setParms(ImportDeclaration arg0),,FALSE,FALSE,,TRUE,FALSE,
mixin.CharLit,2,Class,mixin,CharLit,,syntax,TRUE,FALSE,,TRUE,FALSE,
mixin.CharLit.ARG_LENGTH,3,Field,mixin,CharLit,ARG_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
mixin.CharLit.TOK_LENGTH,3,Field,mixin,CharLit,TOK_LENGTH,,FALSE,FALSE,,TRUE,FALSE,
